Strategy_no,From_time,To_time,no_preds,Accuracy,p_val,, 0_min_low,, 0_indicator,, 0_threshold_high,, 0_direction,, 0_max_high,, 0_threshold_low,, 1_min_low,, 1_indicator,, 1_threshold_high,, 1_direction,, 1_max_high,, 1_threshold_low
,2005-01-01 00:00:00, 2005-12-31 23:59:59,36,0.3888888889,0.242984954, 0_min_low,-500, 0_indicator, CDL3OUTSID_D, 0_threshold_high,0.5, 0_direction, long_below_low, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,-10, 1_indicator, 21d_over_200d_ma_normbyvol_D, 1_threshold_high,5, 1_direction, long_below_low, 1_max_high,10, 1_threshold_low,-5
,2005-01-01 00:00:00, 2005-12-31 23:59:59,26,0.6153846154,0.3269395828, 0_min_low,-500, 0_indicator, CDL3OUTSID_D, 0_threshold_high,0.5, 0_direction, long_above_high, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,-10, 1_indicator, 21d_over_200d_ma_normbyvol_D, 1_threshold_high,5, 1_direction, long_below_low, 1_max_high,10, 1_threshold_low,-5
,2005-01-01 00:00:00, 2005-12-31 23:59:59,33,0.3939393939,0.2962063686, 0_min_low,-500, 0_indicator, CDL3OUTSID_D, 0_threshold_high,0.5, 0_direction, long_below_low, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,-10, 1_indicator, 21d_over_200d_ma_normbyvol_D, 1_threshold_high,2, 1_direction, short_below_low, 1_max_high,10, 1_threshold_low,-2
,2005-01-01 00:00:00, 2005-12-31 23:59:59,160,0.4125,0.0324740914, 0_min_low,-500, 0_indicator, CDL3OUTSID_D, 0_threshold_high,0.5, 0_direction, long_above_high, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,-10, 1_indicator, 21d_over_200d_ma_normbyvol_D, 1_threshold_high,2, 1_direction, short_below_low, 1_max_high,10, 1_threshold_low,-2
,2005-01-01 00:00:00, 2005-12-31 23:59:59,2854,0.4968465312,0.7503274762, 0_min_low,-500, 0_indicator, CDL3STARSINSOUT_D, 0_threshold_high,0.5, 0_direction, long_below_low, 0_max_high,500, 0_threshold_low,-0.5,,,,,,,,,,,,
,2005-01-01 00:00:00, 2005-12-31 23:59:59,2854,0.5028030834,0.7788858802, 0_min_low,-500, 0_indicator, CDL3STARSINSOUT_D, 0_threshold_high,0.5, 0_direction, long_above_high, 0_max_high,500, 0_threshold_low,-0.5,,,,,,,,,,,,
,2005-01-01 00:00:00, 2005-12-31 23:59:59,359,0.4540389972,0.0911001985, 0_min_low,-500, 0_indicator, CDL3STARSINSOUT_D, 0_threshold_high,0.5, 0_direction, long_above_high, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,0, 1_indicator, RSI_D, 1_threshold_high,70, 1_direction, long_below_low, 1_max_high,100, 1_threshold_low,30
,2005-01-01 00:00:00, 2005-12-31 23:59:59,802,0.5872817955,8.64704561479E-07, 0_min_low,-500, 0_indicator, CDL3STARSINSOUT_D, 0_threshold_high,0.5, 0_direction, long_below_low, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,30, 1_indicator, RSI, 1_threshold_high,55, 1_direction, long_below_low, 1_max_high,70, 1_threshold_low,45
,2005-01-01 00:00:00, 2005-12-31 23:59:59,865,0.5479768786,0.0052722901, 0_min_low,-500, 0_indicator, CDL3STARSINSOUT_D, 0_threshold_high,0.5, 0_direction, long_above_high, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,30, 1_indicator, RSI, 1_threshold_high,55, 1_direction, long_below_low, 1_max_high,70, 1_threshold_low,45
,2005-01-01 00:00:00, 2005-12-31 23:59:59,159,0.465408805,0.4278398111, 0_min_low,-500, 0_indicator, CDL3STARSINSOUT_D, 0_threshold_high,0.5, 0_direction, long_below_low, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,0, 1_indicator, RSI, 1_threshold_high,70, 1_direction, long_below_low, 1_max_high,100, 1_threshold_low,30
,2005-01-01 00:00:00, 2005-12-31 23:59:59,253,0.4743083004,0.4506540584, 0_min_low,-500, 0_indicator, CDL3STARSINSOUT_D, 0_threshold_high,0.5, 0_direction, long_above_high, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,0, 1_indicator, RSI, 1_threshold_high,70, 1_direction, long_below_low, 1_max_high,100, 1_threshold_low,30
,2005-01-01 00:00:00, 2005-12-31 23:59:59,1264,0.4612341772,0.0063430522, 0_min_low,-500, 0_indicator, CDL3STARSINSOUT_D, 0_threshold_high,0.5, 0_direction, long_below_low, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,30, 1_indicator, RSI, 1_threshold_high,50, 1_direction, long_above_high, 1_max_high,70, 1_threshold_low,50
,2005-01-01 00:00:00, 2005-12-31 23:59:59,1178,0.4660441426,0.0213108666, 0_min_low,-500, 0_indicator, CDL3STARSINSOUT_D, 0_threshold_high,0.5, 0_direction, long_above_high, 0_max_high,500, 0_threshold_low,-0.5, 1_min_low,30, 1_indicator, RSI, 1_threshold_high,50, 1_direction, long_above_high, 1_max_high,70, 1_threshold_low,50
